participant,content,token,lemma,tagged_token,tagged_lemma,tagged_stan_token,tagged_stan_lemma,file,content1,content2,utter_order,content1_embedding_bert-base-uncased,content2_embedding_bert-base-uncased,content1_embedding_bert-base-uncased_content2_embedding_bert-base-uncased_cosine_similarity
PC:, well i don't really know how we're gonna get it to swing regardless though   'cause it's gonna be heavy,"['well', 'i', 'do', 'not', 'really', 'know', 'how', 'we', 'are', 'on', 'na', 'get', 'it', 'to', 'swing', 'regardless', 'though', 'because', 'it', 'is', 'on', 'na', 'be', 'heavy']","['well', 'i', 'do', 'not', 'really', 'know', 'how', 'we', 'be', 'on', 'na', 'get', 'it', 'to', 'swing', 'regardless', 'though', 'because', 'it', 'be', 'on', 'na', 'be', 'heavy']","[('well', 'RB'), ('i', 'RB'), ('do', 'VBP'), ('not', 'RB'), ('really', 'RB'), ('know', 'VB'), ('how', 'WRB'), ('we', 'PRP'), ('are', 'VBP'), ('on', 'IN'), ('na', 'NNS'), ('get', 'VBP'), ('it', 'PRP'), ('to', 'TO'), ('swing', 'VBG'), ('regardless', 'RB'), ('though', 'IN'), ('because', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('on', 'IN'), ('na', 'NN'), ('be', 'VB'), ('heavy', 'JJ')]","[('well', 'RB'), ('i', 'RB'), ('do', 'VBP'), ('not', 'RB'), ('really', 'RB'), ('know', 'VB'), ('how', 'WRB'), ('we', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'JJ'), ('get', 'VB'), ('it', 'PRP'), ('to', 'TO'), ('swing', 'VBG'), ('regardless', 'RB'), ('though', 'IN'), ('because', 'IN'), ('it', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'JJ'), ('be', 'VB'), ('heavy', 'JJ')]","[('well', 'RB'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('really', 'RB'), ('know', 'VB'), ('how', 'WRB'), ('we', 'PRP'), ('are', 'VBP'), ('on', 'IN'), ('na', 'TO'), ('get', 'VB'), ('it', 'PRP'), ('to', 'TO'), ('swing', 'VB'), ('regardless', 'RB'), ('though', 'RB'), ('because', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('on', 'IN'), ('na', 'TO'), ('be', 'VB'), ('heavy', 'JJ')]","[('well', 'RB'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('really', 'RB'), ('know', 'VB'), ('how', 'WRB'), ('we', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'TO'), ('get', 'VB'), ('it', 'PRP'), ('to', 'TO'), ('swing', 'VB'), ('regardless', 'RB'), ('though', 'RB'), ('because', 'IN'), ('it', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'TO'), ('be', 'VB'), ('heavy', 'JJ')]",ASU-T10_ExpBlock2-DolphinShow.txt, well i don't really know how we're gonna get it to swing regardless though   'cause it's gonna be heavy,maybe pin it to like that blue wave,PC: PA:,,,
PA:,maybe pin it to like that blue wave,"['maybe', 'pin', 'it', 'to', 'like', 'that', 'blue', 'wave']","['maybe', 'pin', 'it', 'to', 'like', 'that', 'blue', 'wave']","[('maybe', 'RB'), ('pin', 'VBZ'), ('it', 'PRP'), ('to', 'TO'), ('like', 'VB'), ('that', 'DT'), ('blue', 'NN'), ('wave', 'VBP')]","[('maybe', 'RB'), ('pin', 'VBZ'), ('it', 'PRP'), ('to', 'TO'), ('like', 'VB'), ('that', 'DT'), ('blue', 'NN'), ('wave', 'VBP')]","[('maybe', 'RB'), ('pin', 'VB'), ('it', 'PRP'), ('to', 'TO'), ('like', 'VB'), ('that', 'IN'), ('blue', 'JJ'), ('wave', 'NN')]","[('maybe', 'RB'), ('pin', 'VB'), ('it', 'PRP'), ('to', 'TO'), ('like', 'VB'), ('that', 'IN'), ('blue', 'JJ'), ('wave', 'NN')]",ASU-T10_ExpBlock2-DolphinShow.txt,maybe pin it to like that blue wave,this one,PA: PC:,,,
PC:,this one,"['this', 'one']","['this', 'one']","[('this', 'DT'), ('one', 'NN')]","[('this', 'DT'), ('one', 'NN')]","[('this', 'DT'), ('one', 'CD')]","[('this', 'DT'), ('one', 'CD')]",ASU-T10_ExpBlock2-DolphinShow.txt,this one,no the blue wave underneath the balloon,PC: PA:,,,
PA:,no the blue wave underneath the balloon,"['no', 'the', 'blue', 'wave', 'underneath', 'the', 'balloon']","['no', 'the', 'blue', 'wave', 'underneath', 'the', 'balloon']","[('no', 'DT'), ('the', 'DT'), ('blue', 'JJ'), ('wave', 'VBP'), ('underneath', 'IN'), ('the', 'DT'), ('balloon', 'NN')]","[('no', 'DT'), ('the', 'DT'), ('blue', 'JJ'), ('wave', 'VBP'), ('underneath', 'IN'), ('the', 'DT'), ('balloon', 'NN')]","[('no', 'DT'), ('the', 'DT'), ('blue', 'JJ'), ('wave', 'NN'), ('underneath', 'IN'), ('the', 'DT'), ('balloon', 'NN')]","[('no', 'DT'), ('the', 'DT'), ('blue', 'JJ'), ('wave', 'NN'), ('underneath', 'IN'), ('the', 'DT'), ('balloon', 'NN')]",ASU-T10_ExpBlock2-DolphinShow.txt,no the blue wave underneath the balloon, well there is a blue wave or i mean there is a pin on the blue wave,PA: PC:,,,
PC:, well there is a blue wave or i mean there is a pin on the blue wave,"['well', 'there', 'is', 'a', 'blue', 'wave', 'or', 'i', 'mean', 'there', 'is', 'a', 'pin', 'on', 'the', 'blue', 'wave']","['well', 'there', 'be', 'a', 'blue', 'wave', 'or', 'i', 'mean', 'there', 'be', 'a', 'pin', 'on', 'the', 'blue', 'wave']","[('well', 'RB'), ('there', 'EX'), ('is', 'VBZ'), ('a', 'DT'), ('blue', 'JJ'), ('wave', 'NN'), ('or', 'CC'), ('i', 'JJ'), ('mean', 'NN'), ('there', 'EX'), ('is', 'VBZ'), ('a', 'DT'), ('pin', 'NN'), ('on', 'IN'), ('the', 'DT'), ('blue', 'NN'), ('wave', 'NN')]","[('well', 'RB'), ('there', 'RB'), ('be', 'VB'), ('a', 'DT'), ('blue', 'JJ'), ('wave', 'NN'), ('or', 'CC'), ('i', 'JJ'), ('mean', 'VBP'), ('there', 'RB'), ('be', 'VB'), ('a', 'DT'), ('pin', 'NN'), ('on', 'IN'), ('the', 'DT'), ('blue', 'NN'), ('wave', 'NN')]","[('well', 'RB'), ('there', 'EX'), ('is', 'VBZ'), ('a', 'DT'), ('blue', 'JJ'), ('wave', 'NN'), ('or', 'CC'), ('i', 'FW'), ('mean', 'VB'), ('there', 'EX'), ('is', 'VBZ'), ('a', 'DT'), ('pin', 'NN'), ('on', 'IN'), ('the', 'DT'), ('blue', 'JJ'), ('wave', 'NN')]","[('well', 'RB'), ('there', 'RB'), ('be', 'VB'), ('a', 'DT'), ('blue', 'JJ'), ('wave', 'NN'), ('or', 'CC'), ('i', 'FW'), ('mean', 'VB'), ('there', 'RB'), ('be', 'VB'), ('a', 'DT'), ('pin', 'NN'), ('on', 'IN'), ('the', 'DT'), ('blue', 'JJ'), ('wave', 'NN')]",ASU-T10_ExpBlock2-DolphinShow.txt, well there is a blue wave or i mean there is a pin on the blue wave,it's not attached to it though,PC: PA:,,,
PA:,it's not attached to it though,"['it', 'is', 'not', 'attached', 'to', 'it', 'though']","['it', 'be', 'not', 'attach', 'to', 'it', 'though']","[('it', 'PRP'), ('is', 'VBZ'), ('not', 'RB'), ('attached', 'VBN'), ('to', 'TO'), ('it', 'PRP'), ('though', 'IN')]","[('it', 'PRP'), ('be', 'VB'), ('not', 'RB'), ('attach', 'VB'), ('to', 'TO'), ('it', 'PRP'), ('though', 'IN')]","[('it', 'PRP'), ('is', 'VBZ'), ('not', 'RB'), ('attached', 'VBN'), ('to', 'TO'), ('it', 'PRP'), ('though', 'IN')]","[('it', 'PRP'), ('be', 'VB'), ('not', 'RB'), ('attach', 'VB'), ('to', 'TO'), ('it', 'PRP'), ('though', 'IN')]",ASU-T10_ExpBlock2-DolphinShow.txt,it's not attached to it though,yeah it is look this one,PA: PC:,,,
PC:,yeah it is look this one,"['yeah', 'it', 'is', 'look', 'this', 'one']","['yeah', 'it', 'be', 'look', 'this', 'one']","[('yeah', 'NN'), ('it', 'PRP'), ('is', 'VBZ'), ('look', 'RBR'), ('this', 'DT'), ('one', 'NN')]","[('yeah', 'VB'), ('it', 'PRP'), ('be', 'VB'), ('look', 'RBR'), ('this', 'DT'), ('one', 'NN')]","[('yeah', 'VB'), ('it', 'PRP'), ('is', 'VBZ'), ('look', 'VB'), ('this', 'DT'), ('one', 'CD')]","[('yeah', 'VB'), ('it', 'PRP'), ('be', 'VB'), ('look', 'VB'), ('this', 'DT'), ('one', 'CD')]",ASU-T10_ExpBlock2-DolphinShow.txt,yeah it is look this one,it's on my screen it's not attached to the blob,PC: PA:,,,
PA:,it's on my screen it's not attached to the blob,"['it', 'is', 'on', 'my', 'screen', 'it', 'is', 'not', 'attached', 'to', 'the', 'blow']","['it', 'be', 'on', 'my', 'screen', 'it', 'be', 'not', 'attach', 'to', 'the', 'blow']","[('it', 'PRP'), ('is', 'VBZ'), ('on', 'IN'), ('my', 'PRP$'), ('screen', 'NN'), ('it', 'PRP'), ('is', 'VBZ'), ('not', 'RB'), ('attached', 'VBN'), ('to', 'TO'), ('the', 'DT'), ('blow', 'NN')]","[('it', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('my', 'PRP$'), ('screen', 'NN'), ('it', 'PRP'), ('be', 'VB'), ('not', 'RB'), ('attach', 'VB'), ('to', 'TO'), ('the', 'DT'), ('blow', 'NN')]","[('it', 'PRP'), ('is', 'VBZ'), ('on', 'IN'), ('my', 'PRP$'), ('screen', 'NN'), ('it', 'PRP'), ('is', 'VBZ'), ('not', 'RB'), ('attached', 'VBN'), ('to', 'TO'), ('the', 'DT'), ('blow', 'NN')]","[('it', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('my', 'PRP$'), ('screen', 'NN'), ('it', 'PRP'), ('be', 'VB'), ('not', 'RB'), ('attach', 'VB'), ('to', 'TO'), ('the', 'DT'), ('blow', 'NN')]",ASU-T10_ExpBlock2-DolphinShow.txt,it's on my screen it's not attached to the blob,okay i think you need to rephrase what you're trying to say,PA: PC:,,,
PC:,okay i think you need to rephrase what you're trying to say,"['okay', 'i', 'think', 'you', 'need', 'to', 'phrase', 'what', 'you', 'are', 'trying', 'to', 'say']","['okay', 'i', 'think', 'you', 'need', 'to', 'phrase', 'what', 'you', 'be', 'try', 'to', 'say']","[('okay', 'NN'), ('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('phrase', 'VB'), ('what', 'WP'), ('you', 'PRP'), ('are', 'VBP'), ('trying', 'VBG'), ('to', 'TO'), ('say', 'VB')]","[('okay', 'NN'), ('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('phrase', 'VB'), ('what', 'WP'), ('you', 'PRP'), ('be', 'VB'), ('try', 'VBN'), ('to', 'TO'), ('say', 'VB')]","[('okay', 'JJ'), ('i', 'FW'), ('think', 'VBP'), ('you', 'PRP'), ('need', 'VB'), ('to', 'TO'), ('phrase', 'NN'), ('what', 'WP'), ('you', 'PRP'), ('are', 'VBP'), ('trying', 'VBG'), ('to', 'TO'), ('say', 'VB')]","[('okay', 'JJ'), ('i', 'FW'), ('think', 'VBP'), ('you', 'PRP'), ('need', 'VB'), ('to', 'TO'), ('phrase', 'NN'), ('what', 'WP'), ('you', 'PRP'), ('be', 'VB'), ('try', 'VB'), ('to', 'TO'), ('say', 'VB')]",ASU-T10_ExpBlock2-DolphinShow.txt,okay i think you need to rephrase what you're trying to say,pin the blob to the blue wave,PC: PA:,,,
PA:,pin the blob to the blue wave,"['pin', 'the', 'blow', 'to', 'the', 'blue', 'wave']","['pin', 'the', 'blow', 'to', 'the', 'blue', 'wave']","[('pin', 'IN'), ('the', 'DT'), ('blow', 'NN'), ('to', 'TO'), ('the', 'DT'), ('blue', 'NN'), ('wave', 'NN')]","[('pin', 'IN'), ('the', 'DT'), ('blow', 'NN'), ('to', 'TO'), ('the', 'DT'), ('blue', 'NN'), ('wave', 'NN')]","[('pin', 'VB'), ('the', 'DT'), ('blow', 'NN'), ('to', 'TO'), ('the', 'DT'), ('blue', 'JJ'), ('wave', 'NN')]","[('pin', 'VB'), ('the', 'DT'), ('blow', 'NN'), ('to', 'TO'), ('the', 'DT'), ('blue', 'JJ'), ('wave', 'NN')]",ASU-T10_ExpBlock2-DolphinShow.txt,pin the blob to the blue wave,this i don't think i can retroactively attach a pin like i don't think it's gonna do anything,PA: PC:,,,
PC:,this i don't think i can retroactively attach a pin like i don't think it's gonna do anything,"['this', 'i', 'do', 'not', 'think', 'i', 'can', 'retroactively', 'attach', 'a', 'pin', 'like', 'i', 'do', 'not', 'think', 'it', 'is', 'on', 'na', 'do', 'anything']","['this', 'i', 'do', 'not', 'think', 'i', 'can', 'retroactively', 'attach', 'a', 'pin', 'like', 'i', 'do', 'not', 'think', 'it', 'be', 'on', 'na', 'do', 'anything']","[('this', 'DT'), ('i', 'NN'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('i', 'NNS'), ('can', 'MD'), ('retroactively', 'RB'), ('attach', 'VB'), ('a', 'DT'), ('pin', 'NN'), ('like', 'IN'), ('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('it', 'PRP'), ('is', 'VBZ'), ('on', 'IN'), ('na', 'NNS'), ('do', 'VBP'), ('anything', 'NN')]","[('this', 'DT'), ('i', 'NN'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('i', 'NNS'), ('can', 'MD'), ('retroactively', 'RB'), ('attach', 'VB'), ('a', 'DT'), ('pin', 'NN'), ('like', 'IN'), ('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('it', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'JJ'), ('do', 'VBP'), ('anything', 'NN')]","[('this', 'DT'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('i', 'FW'), ('can', 'MD'), ('retroactively', 'RB'), ('attach', 'VB'), ('a', 'DT'), ('pin', 'NN'), ('like', 'IN'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('it', 'PRP'), ('is', 'VBZ'), ('on', 'IN'), ('na', 'TO'), ('do', 'VB'), ('anything', 'NN')]","[('this', 'DT'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('i', 'FW'), ('can', 'MD'), ('retroactively', 'RB'), ('attach', 'VB'), ('a', 'DT'), ('pin', 'NN'), ('like', 'IN'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('it', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'TO'), ('do', 'VB'), ('anything', 'NN')]",ASU-T10_ExpBlock2-DolphinShow.txt,this i don't think i can retroactively attach a pin like i don't think it's gonna do anything,well we need to get it to swing so,PC: PA:,,,
PA:,well we need to get it to swing so,"['well', 'we', 'need', 'to', 'get', 'it', 'to', 'swing', 'so']","['well', 'we', 'need', 'to', 'get', 'it', 'to', 'swing', 'so']","[('well', 'RB'), ('we', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('get', 'VB'), ('it', 'PRP'), ('to', 'TO'), ('swing', 'VBG'), ('so', 'RB')]","[('well', 'RB'), ('we', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('get', 'VB'), ('it', 'PRP'), ('to', 'TO'), ('swing', 'VBG'), ('so', 'RB')]","[('well', 'RB'), ('we', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('get', 'VB'), ('it', 'PRP'), ('to', 'TO'), ('swing', 'VB'), ('so', 'RB')]","[('well', 'RB'), ('we', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('get', 'VB'), ('it', 'PRP'), ('to', 'TO'), ('swing', 'VB'), ('so', 'RB')]",ASU-T10_ExpBlock2-DolphinShow.txt,well we need to get it to swing so,now we have our ball at least,PA: PC:,,,
PC:,now we have our ball at least,"['now', 'we', 'have', 'our', 'ball', 'at', 'least']","['now', 'we', 'have', 'our', 'ball', 'at', 'least']","[('now', 'RB'), ('we', 'PRP'), ('have', 'VBP'), ('our', 'PRP$'), ('ball', 'NN'), ('at', 'IN'), ('least', 'JJS')]","[('now', 'RB'), ('we', 'PRP'), ('have', 'VBP'), ('our', 'PRP$'), ('ball', 'NN'), ('at', 'IN'), ('least', 'JJS')]","[('now', 'RB'), ('we', 'PRP'), ('have', 'VBP'), ('our', 'PRP$'), ('ball', 'NN'), ('at', 'IN'), ('least', 'JJS')]","[('now', 'RB'), ('we', 'PRP'), ('have', 'VBP'), ('our', 'PRP$'), ('ball', 'NN'), ('at', 'IN'), ('least', 'JJS')]",ASU-T10_ExpBlock2-DolphinShow.txt,now we have our ball at least,drop something heavy catapult it,PC: PA:,,,
